Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
47677;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;10T-1001-10010AS;A05;International;Tie Line Koman-KosovoB;L_KOM-KOSB;2018-10-31 00:00:00.0000000;NULL;NULL;;NULL;Tieline;NULL;10XAL-KESH-----J;0;3
47678;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LE-TRADING-N;A05;International;LE Trading a.s.;LE-TRADING;2013-12-18 00:00:00.0000000;NULL;SK;;SK2023878747;Trade Responsible Party;NULL;NULL;0;3
47679;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LEVEN-AS-1-J;A05;International;LEVEN, a. s.;LEVENAS;2011-03-01 00:00:00.0000000;NULL;SK;;SK2020157216;Trade Responsible Party;NULL;NULL;0;3
47680;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LLC-ETG-UA-D;A05;International;ENERGOTRADE GROUP''LIMITED LIABILITY COMPANY;LLC-ETG;2014-11-25 00:00:00.0000000;NULL;UA;;39400995;Trade Responsible Party;NULL;NULL;0;3
47681;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LLC-PET-UA-Q;A05;International;POWERNETWORK-EXPORT-TRADE LIMITED LIABILITY COMPANY;LLC-PET;2014-11-25 00:00:00.0000000;NULL;UA;;39485712;Trade Responsible Party;NULL;NULL;0;3
47682;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LLC-TEC-01-L;A05;International;LLC TRADING ELECTRIC COMPANY;LLC_TEC;2013-10-02 00:00:00.0000000;NULL;UA;;365309726596;Trade Responsible Party;NULL;NULL;0;3
47683;2019-04-01 09:26:51.2053104 +00:00;2019-06-13 06:00:29.0405528 +00:00;24XLLC-UTEC-UA-J;A05;International;LLC UKRAINIAN TRADE ENERGY COMPANY;LLC-UTEC;2015-09-07 00:00:00.0000000;NULL;UA;;39510083;Trade Responsible Party;NULL;NULL;1;3
47684;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24XLUMEN-ENERSKP;A05;International;Lumen Energy a.s., organizacna zlozka;LUMEN-ENERGY-SK;2016-10-18 00:00:00.0000000;NULL;SK;;SK2022093139;Electricity Trading;27XLUMEN-ENERGYP;NULL;0;3
47685;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LUMEN-SR---L;A05;International;Lumen Energy SR a.s.;LUMEN-SR;2007-12-06 00:00:00.0000000;NULL;SK;;SK2022175034;Market Operator;NULL;NULL;0;3
47686;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;24X-LUMIUS-OZ--U;A05;International;Lumius, s.r.o., organizacna zlozka;LUMIUS-OZ-SK;2008-06-26 00:00:00.0000000;NULL;SK;;NULL;Trade Responsible Party;NULL;NULL;0;3
